Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","34542","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01371","Almonds, in shell","2020","2020","100 g/ha","17611","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01371","Almonds, in shell","2020","2020","t","60832","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01341","Apples","2020","2020","ha","33025","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01341","Apples","2020","2020","100 g/ha","171635","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01341","Apples","2020","2020","t","566823.5","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01343","Apricots","2020","2020","ha","29719","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01343","Apricots","2020","2020","100 g/ha","63015","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01343","Apricots","2020","2020","t","187273.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01216","Artichokes","2020","2020","ha","5830","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01216","Artichokes","2020","2020","100 g/ha","217431","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01216","Artichokes","2020","2020","t","126762.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01312","Bananas","2020","2020","ha","10","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01312","Bananas","2020","2020","100 g/ha","246202","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01312","Bananas","2020","2020","t","234.99","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2020","2020","ha","978114","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","0115","Barley","2020","2020","100 g/ha","12403","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2020","2020","t","1213137","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01701","Beans, dry","2020","2020","ha","1981","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01701","Beans, dry","2020","2020","100 g/ha","10337","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01701","Beans, dry","2020","2020","t","2047.8","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01702","Broad beans and horse beans, dry","2020","2020","ha","39849","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01702","Broad beans and horse beans, dry","2020","2020","100 g/ha","12511","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01702","Broad beans and horse beans, dry","2020","2020","t","49856.7","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01243","Broad beans and horse beans, green","2020","2020","ha","33125","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01243","Broad beans and horse beans, green","2020","2020","100 g/ha","86712","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01243","Broad beans and horse beans, green","2020","2020","t","287235.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01212","Cabbages","2020","2020","ha","4104","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01212","Cabbages","2020","2020","100 g/ha","302660","A","Official figure",""
